ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-8878.32,-11089.529999999999,-20963.114999999998,-5487.615,784.845,-27478.844999999998,-12526.244999999999,-4601.925
-8874.81,-11087.775,-20968.155,-5481.585,798.8399999999999,-27498.87,-12526.38,-4599.63
-8880.119999999999,-11082.914999999999,-20958.704999999998,-5474.115,819.045,-27476.64,-12464.595,-4594.679999999999
-8883.359999999999,-11090.744999999999,-20972.79,-5491.844999999999,816.5699999999999,-27442.89,-12456.449999999999,-4585.1849999999995
-8904.69,-11118.15,-21001.094999999998,-5512.815,811.395,-27405.045,-12431.789999999999,-4600.71
-8926.605,-11131.65,-21010.68,-5517.179999999999,798.2099999999999,-27432.0,-12438.494999999999,-4626.045
-8940.555,-11132.865,-21014.91,-5524.065,784.305,-27475.92,-12471.345,-4643.1449999999995
-8945.595,-11141.1,-21024.675,-5533.065,777.78,-27477.495,-12485.115,-4648.1849999999995
-8952.885,-11156.939999999999,-21032.954999999998,-5535.2699999999995,772.56,-27484.92,-12490.244999999999,-4645.9349999999995
-8952.84,-11136.779999999999,-21021.3,-5524.38,770.67,-27493.245,-12484.98,-4645.3949999999995
-8967.06,-11117.609999999999,-20993.489999999998,-5513.8949999999995,752.04,-27517.32,-12483.045,-4653.63
-8970.93,-11127.555,-21003.255,-5523.344999999999,744.795,-27504.09,-12459.824999999999,-4651.065
-8953.83,-11105.82,-20982.915,-5487.344999999999,804.375,-27433.305,-12410.01,-4643.46
-8938.44,-11087.82,-20965.905,-5460.705,848.8349999999999,-27375.93,-12362.265,-4621.005
-8928.0,-11074.23,-20954.295,-5452.605,856.17,-27361.8,-12350.385,-4602.195
-8941.59,-11082.96,-20963.114999999998,-5467.365,830.52,-27371.07,-12347.145,-4611.6449999999995
-8943.119999999999,-11079.494999999999,-20957.579999999998,-5469.03,804.105,-27402.704999999998,-12392.46,-4612.095
-8962.38,-11095.154999999999,-20976.434999999998,-5481.63,776.295,-27426.555,-12420.81,-4628.025
-8979.119999999999,-11106.99,-20991.87,-5493.375,760.635,-27442.485,-12432.015,-4638.69
-8982.99,-11106.81,-20992.815,-5492.655,775.485,-27434.655,-12417.119999999999,-4633.425
-8988.345,-11115.539999999999,-21005.82,-5501.655,784.53,-27414.09,-12383.55,-4626.72
-8994.645,-11116.305,-21001.545,-5483.835,812.2049999999999,-27392.715,-12364.02,-4627.215
-8994.42,-11105.55,-20985.075,-5472.045,815.76,-27386.594999999998,-12356.189999999999,-4624.245
-8998.47,-11104.335,-20984.175,-5491.755,783.765,-27391.094999999998,-12362.49,-4627.035
-9002.789999999999,-11105.414999999999,-20995.02,-5502.69,791.1,-27383.265,-12362.039999999999,-4626.764999999999
-9016.154999999999,-11122.425,-21028.545,-5533.605,763.425,-27382.905,-12360.869999999999,-4631.13
-9026.505,-11128.994999999999,-21022.965,-5546.205,711.72,-27398.385,-12367.035,-4635.09
-9023.76,-11111.67,-20994.614999999998,-5512.23,735.03,-27399.329999999998,-12376.484999999999,-4632.84
-9026.64,-11102.895,-20990.969999999998,-5478.075,764.865,-27389.745,-12382.605,-4636.53
-9025.74,-11092.14,-20971.934999999998,-5448.87,817.56,-27370.485,-12376.89,-4635.09
