ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-9574.335,-11228.76,-21151.395,-5835.33,382.32,-27621.855,-10560.51,-4742.91
-9549.135,-11177.865,-21068.91,-5631.3,591.795,-27545.489999999998,-10548.99,-4692.375
-9487.89,-11137.32,-21056.579999999998,-5678.01,449.72999999999996,-27573.57,-10556.19,-4600.53
-9516.105,-11260.484999999999,-21236.805,-5914.8,368.41499999999996,-27574.739999999998,-10542.69,-4543.47
-9543.24,-11239.064999999999,-21219.344999999998,-6012.36,429.705,-27431.28,-10538.19,-4666.545
-9559.8,-11168.414999999999,-21104.28,-5929.514999999999,226.48499999999999,-27551.745,-10585.44,-4810.7699999999995
-9573.795,-11150.91,-21084.57,-5879.925,393.16499999999996,-27519.66,-10562.805,-4832.595
-9589.23,-11218.77,-21125.43,-5802.4349999999995,758.2049999999999,-27487.35,-10522.8,-4748.535
-9558.449999999999,-11239.47,-21127.815,-5658.57,871.8299999999999,-27511.2,-10503.18,-4643.28
-9533.789999999999,-11206.529999999999,-21120.3,-5701.86,635.0849999999999,-27567.719999999998,-10488.105,-4626.224999999999
-9569.699999999999,-11202.57,-21126.195,-5840.505,102.69,-27748.17,-10543.545,-4635.315
-9580.68,-11302.02,-21242.385,-6081.165,-377.055,-27835.92,-10577.07,-4580.325
-9548.91,-11318.445,-21271.68,-6027.03,238.635,-27656.91,-10585.8,-4557.105
-9457.47,-11127.6,-20956.815,-5391.945,1264.77,-27408.105,-10526.265,-4525.514999999999
-9456.074999999999,-11125.17,-20954.43,-5390.639999999999,1095.21,-27476.73,-10478.52,-4538.474999999999
-9522.72,-11246.67,-21143.114999999998,-5707.125,729.405,-27534.195,-10493.91,-4590.45
-9517.005,-11209.77,-21127.005,-5762.61,628.6949999999999,-27529.065,-10506.779999999999,-4618.98
-9496.44,-11189.475,-21118.68,-5779.44,406.71,-27531.899999999998,-10484.279999999999,-4618.08
-9503.46,-11171.97,-21097.98,-5794.83,338.445,-27536.85,-10435.994999999999,-4596.615
-9556.74,-11216.789999999999,-21103.245,-5764.905,456.255,-27542.655,-10438.875,-4604.715
-9568.619999999999,-11231.505,-21072.915,-5622.12,597.555,-27555.885,-10474.425,-4623.48
-9521.279999999999,-11171.295,-21058.11,-5678.91,660.87,-27491.67,-10493.414999999999,-4617.135
-9524.385,-11190.285,-21102.434999999998,-5716.304999999999,794.0699999999999,-27440.594999999998,-10473.795,-4621.455
-9519.57,-11195.595,-21123.0,-5752.3949999999995,600.7049999999999,-27569.879999999997,-10473.119999999999,-4617.45
-9531.63,-11220.57,-21130.155,-5840.55,501.29999999999995,-27595.53,-10516.545,-4624.965
-9521.369999999999,-11210.58,-21146.715,-5799.24,553.9499999999999,-27561.69,-10470.555,-4615.514999999999
-9539.279999999999,-11232.72,-21166.469999999998,-5763.87,464.94,-27576.989999999998,-10443.645,-4636.575
-9537.66,-11204.505,-21131.1,-5755.7699999999995,251.23499999999999,-27629.055,-10415.565,-4645.485
-9524.97,-11173.814999999999,-21077.505,-5779.349999999999,371.61,-27580.41,-10399.41,-4612.545
-9482.625,-11180.385,-21111.03,-5779.26,770.49,-27512.37,-10399.05,-4558.815
-9477.9,-11181.689999999999,-21151.665,-5848.425,642.285,-27566.19,-10389.914999999999,-4562.639999999999
-9482.67,-11186.64,-21170.114999999998,-5894.775,304.11,-27699.614999999998,-10461.465,-4570.92
-9506.744999999999,-11172.195,-21104.415,-5713.83,405.135,-27623.43,-10479.195,-4611.0599999999995
-9542.295,-11189.295,-21056.265,-5568.929999999999,647.145,-27494.774999999998,-10442.97,-4649.264999999999
-9556.605,-11240.189999999999,-21158.1,-5884.29,262.98,-27611.28,-10466.414999999999,-4655.79
-9579.285,-11302.289999999999,-21272.67,-6111.495,111.735,-27658.53,-10489.41,-4674.6449999999995
-9598.23,-11268.27,-21245.489999999998,-6003.8099999999995,431.055,-27567.945,-10444.275,-4708.665
-9565.92,-11177.46,-21100.274999999998,-5808.375,586.845,-27544.23,-10424.25,-4691.5199999999995
-9570.69,-11229.615,-21138.12,-5823.54,522.18,-27514.17,-10410.93,-4649.58
-9523.755,-11225.295,-21137.76,-5801.4,487.03499999999997,-27583.02,-10444.815,-4586.175
-9526.14,-11229.074999999999,-21125.34,-5707.889999999999,499.995,-27588.105,-10432.395,-4599.2699999999995
-9524.07,-11190.824999999999,-21107.07,-5727.554999999999,577.8,-27546.12,-10386.539999999999,-4611.195
-9546.615,-11225.025,-21143.34,-5799.285,688.4549999999999,-27536.265,-10387.755,-4633.65
-9521.775,-11153.564999999999,-21001.05,-5572.665,914.625,-27517.094999999998,-10410.21,-4619.655
