ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-10294.65,-11366.505,-21562.065,-6240.0599999999995,411.885,-28493.954999999998,-10178.279999999999,-4595.445
-10321.289999999999,-11419.064999999999,-21671.55,-6363.675,313.335,-28523.07,-10158.705,-4602.105
-10303.74,-11415.645,-21590.055,-6195.69,346.59,-28502.774999999998,-10156.095,-4587.255
-10209.195,-11296.529999999999,-21408.48,-5955.48,476.90999999999997,-28443.465,-10158.84,-4559.264999999999
-10272.555,-11244.015,-21338.055,-5904.09,554.9399999999999,-28422.315,-10212.705,-4666.86
-10363.904999999999,-11298.779999999999,-21393.855,-5991.12,502.515,-28409.039999999997,-10226.88,-4738.365
-10398.42,-11435.175,-21521.43,-6113.79,384.97499999999997,-28478.52,-10243.125,-4690.98
-10284.119999999999,-11450.654999999999,-21632.579999999998,-6263.19,319.275,-28572.885,-10278.18,-4514.8949999999995
-10208.07,-11361.285,-21569.219999999998,-6239.295,342.765,-28522.35,-10191.779999999999,-4437.945
-10255.68,-11374.335,-21542.76,-6216.075,286.335,-28522.98,-10203.75,-4535.73
-10272.779999999999,-11400.75,-21605.535,-6347.205,277.335,-28534.23,-10161.945,-4503.78
-10261.664999999999,-11401.92,-21624.255,-6421.365,277.78499999999997,-28590.57,-10149.93,-4479.075
-10238.445,-11386.755,-21642.075,-6416.415,255.69,-28605.42,-10145.835,-4475.88
-10244.34,-11350.664999999999,-21575.61,-6280.965,349.155,-28497.465,-10125.99,-4537.17
-10263.015,-11373.435,-21630.555,-6405.929999999999,286.38,-28510.379999999997,-10153.574999999999,-4536.72
-10296.9,-11456.73,-21770.145,-6528.375,181.62,-28577.745,-10169.865,-4502.429999999999
-10347.525,-11513.43,-21741.84,-6292.304999999999,231.03,-28596.78,-10209.195,-4499.82
-10290.195,-11437.335,-21499.11,-5907.42,390.555,-28573.695,-10218.824999999999,-4470.075
-10303.244999999999,-11385.945,-21422.79,-5945.49,327.10499999999996,-28626.57,-10221.525,-4518.63
-10290.555,-11413.35,-21566.925,-6193.575,257.985,-28624.32,-10224.945,-4502.5199999999995
-10246.005,-11425.994999999999,-21694.77,-6457.5,222.885,-28617.885,-10225.17,-4457.925
-10252.89,-11424.24,-21662.594999999998,-6360.57,291.465,-28612.575,-10254.24,-4501.71
-10297.89,-11434.5,-21542.805,-6036.255,362.47499999999997,-28565.684999999998,-10288.305,-4567.095
-10276.38,-11415.51,-21472.649999999998,-5890.139999999999,363.51,-28575.135,-10289.654999999999,-4554.045
-10265.895,-11383.695,-21457.215,-5958.09,379.485,-28558.62,-10221.93,-4523.22
-10239.615,-11339.595,-21446.46,-6033.51,395.90999999999997,-28558.485,-10134.765,-4475.025
-10233.359999999999,-11323.71,-21455.37,-6032.655,442.48499999999996,-28508.399999999998,-10089.0,-4453.785
-10261.529999999999,-11369.43,-21507.57,-6090.795,375.34499999999997,-28524.285,-10141.109999999999,-4493.25
-10277.145,-11369.475,-21494.925,-6090.929999999999,348.525,-28538.414999999997,-10185.39,-4529.61
-10265.535,-11339.279999999999,-21463.829999999998,-6051.105,405.495,-28531.62,-10208.565,-4528.98
-10258.83,-11358.225,-21508.649999999998,-6121.98,340.78499999999997,-28581.704999999998,-10220.67,-4520.025
-10277.775,-11385.045,-21565.485,-6182.28,320.67,-28563.12,-10188.045,-4526.46
-10283.715,-11395.305,-21568.32,-6183.36,337.905,-28498.05,-10144.935,-4524.615
-10286.55,-11422.529999999999,-21621.915,-6256.62,299.205,-28516.905,-10124.414999999999,-4519.8
-10275.345,-11398.005,-21615.57,-6307.83,294.75,-28536.03,-10164.285,-4522.679999999999
-10265.355,-11367.99,-21559.32,-6241.094999999999,380.47499999999997,-28511.55,-10181.744999999999,-4528.304999999999
-10282.68,-11392.92,-21551.715,-6153.615,412.335,-28490.625,-10192.904999999999,-4552.0199999999995
-10292.175,-11406.105,-21542.625,-6147.495,354.555,-28519.92,-10208.744999999999,-4562.1449999999995
-10290.15,-11401.289999999999,-21571.02,-6138.63,320.94,-28548.135,-10194.21,-4548.87
-10283.445,-11387.07,-21550.68,-6120.54,337.14,-28522.664999999997,-10133.19,-4527.8099999999995
-10282.41,-11394.404999999999,-21522.059999999998,-6092.37,392.21999999999997,-28484.504999999997,-10109.744999999999,-4519.215
-10252.44,-11331.0,-21435.48,-5998.365,489.645,-28474.605,-10159.695,-4538.7
-10257.345,-11321.055,-21461.085,-6054.12,438.84,-28496.655,-10155.285,-4571.01
-10284.66,-11357.865,-21521.114999999998,-6125.985,361.935,-28519.289999999997,-10145.88,-4592.5199999999995
-10316.16,-11424.734999999999,-21588.255,-6217.74,272.15999999999997,-28550.295,-10178.73,-4574.61
-10326.869999999999,-11418.705,-21578.265,-6271.469999999999,198.945,-28610.864999999998,-10256.22,-4561.92
-10320.435,-11379.015,-21547.53,-6190.2,258.39,-28589.129999999997,-10297.215,-4595.94
-10297.44,-11320.875,-21459.915,-6054.12,464.715,-28499.085,-10277.865,-4652.73
-10255.185,-11301.345,-21473.37,-6097.59,497.115,-28469.024999999998,-10214.369999999999,-4638.735
-10213.965,-11338.47,-21541.05,-6229.349999999999,380.655,-28505.565,-10177.289999999999,-4508.054999999999
