ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-10653.074999999999,-11438.369999999999,-21753.045,-6298.92,394.65,-28949.355,-10842.705,-4444.38
-10666.574999999999,-11432.43,-21726.765,-6323.985,387.85499999999996,-28931.535,-10805.265,-4440.24
-10663.965,-11440.935,-21710.565,-6305.3099999999995,364.32,-28954.44,-10798.56,-4405.005
-10628.414999999999,-11465.055,-21766.454999999998,-6329.79,298.485,-28958.085,-10805.805,-4349.34
-10609.38,-11444.625,-21727.125,-6219.36,356.21999999999997,-28944.945,-10815.074999999999,-4351.7699999999995
-10636.38,-11449.71,-21724.245,-6221.88,371.47499999999997,-28960.92,-10841.715,-4377.735
-10658.295,-11461.949999999999,-21736.17,-6204.014999999999,427.185,-28984.41,-10833.39,-4387.5
-10663.965,-11448.539999999999,-21723.344999999998,-6161.94,478.26,-28943.46,-10805.67,-4413.24
-10672.38,-11439.18,-21700.26,-6164.505,437.715,-28909.754999999997,-10781.91,-4441.455
-10680.029999999999,-11456.324999999999,-21751.785,-6246.764999999999,379.16999999999996,-28930.77,-10785.195,-4467.195
-10695.33,-11474.414999999999,-21768.254999999997,-6262.469999999999,365.35499999999996,-28986.3,-10820.07,-4455.855
-10674.359999999999,-11451.015,-21728.7,-6232.41,351.135,-29022.21,-10844.64,-4415.49
-10633.949999999999,-11444.715,-21733.92,-6258.105,366.34499999999997,-28986.21,-10830.779999999999,-4357.305
-10639.619999999999,-11454.21,-21744.27,-6275.429999999999,406.305,-28921.95,-10803.285,-4363.47
-10667.654999999999,-11466.99,-21750.66,-6265.304999999999,353.655,-28951.695,-10819.17,-4413.6449999999995
-10664.19,-11473.335,-21755.925,-6257.565,310.635,-29029.725,-10855.845,-4417.92
-10662.074999999999,-11442.015,-21725.594999999998,-6221.745,389.115,-28992.825,-10864.935,-4439.88
-10662.48,-11425.814999999999,-21722.129999999997,-6231.014999999999,424.03499999999997,-28961.235,-10855.08,-4457.07
-10634.58,-11430.0,-21722.489999999998,-6241.32,366.255,-29004.48,-10842.57,-4419.855
-10615.275,-11419.064999999999,-21708.809999999998,-6225.615,320.895,-29007.315,-10814.805,-4382.055
-10603.71,-11419.064999999999,-21726.045,-6236.91,331.965,-28952.594999999998,-10807.92,-4350.014999999999
-10655.505,-11462.895,-21758.625,-6223.95,463.005,-28892.969999999998,-10821.105,-4403.655
-10691.865,-11479.994999999999,-21735.135,-6242.715,447.615,-28977.75,-10855.71,-4432.545
-10676.52,-11460.689999999999,-21734.37,-6285.96,351.99,-29005.649999999998,-10863.225,-4422.195
-10651.545,-11472.029999999999,-21759.21,-6288.795,336.87,-28982.16,-10845.314999999999,-4390.155
-10657.125,-11495.295,-21785.04,-6280.92,409.22999999999996,-28904.129999999997,-10786.725,-4378.275
-10617.66,-11407.994999999999,-21705.21,-6265.889999999999,341.82,-28929.059999999998,-10769.625,-4349.79
-10641.69,-11457.045,-21733.695,-6261.12,309.28499999999997,-28993.274999999998,-10828.845,-4389.165
-10687.05,-11464.38,-21743.19,-6273.135,377.41499999999996,-28979.414999999997,-10832.445,-4424.49
-10681.335,-11452.77,-21732.93,-6276.51,397.935,-28909.62,-10790.279999999999,-4428.09
-10674.72,-11484.225,-21792.645,-6329.7,273.735,-28967.445,-10833.525,-4426.514999999999
-10667.205,-11455.74,-21781.754999999997,-6326.19,263.61,-29020.004999999997,-10860.255,-4413.555
-10686.555,-11481.75,-21800.7,-6313.59,283.365,-29001.105,-10827.404999999999,-4447.665
-10696.23,-11484.765,-21799.17,-6291.135,345.645,-28955.745,-10810.89,-4474.62
-10683.404999999999,-11416.904999999999,-21706.379999999997,-6216.795,448.965,-28943.82,-10835.955,-4497.12
-10629.72,-11379.375,-21686.985,-6315.57,352.26,-28953.315,-10826.279999999999,-4427.28
-10605.734999999999,-11422.26,-21761.28,-6407.19,334.26,-28951.11,-10810.664999999999,-4344.75
-10655.595,-11491.199999999999,-21830.489999999998,-6395.04,357.65999999999997,-28991.114999999998,-10846.305,-4334.58
-10662.39,-11472.119999999999,-21735.629999999997,-6175.53,422.82,-28960.155,-10844.64,-4371.255
-10670.67,-11434.725,-21651.84,-6085.08,483.97499999999997,-28890.539999999997,-10827.225,-4455.9
-10668.69,-11440.439999999999,-21712.23,-6166.98,433.395,-28904.579999999998,-10830.555,-4482.405
-10687.77,-11442.105,-21742.785,-6188.67,406.34999999999997,-28895.895,-10820.16,-4477.7699999999995
-10674.18,-11441.97,-21687.03,-6138.315,396.495,-28928.879999999997,-10817.955,-4410.495
-10632.69,-11451.33,-21717.719999999998,-6229.215,336.42,-28998.45,-10836.539999999999,-4357.575
-10636.965,-11431.305,-21693.825,-6221.474999999999,373.77,-28962.945,-10839.869999999999,-4381.11
-10614.779999999999,-11442.734999999999,-21721.77,-6228.405,369.45,-28985.085,-10851.39,-4361.04
-10622.925,-11454.57,-21762.585,-6239.745,395.55,-28999.844999999998,-10851.75,-4355.37
-10658.115,-11428.289999999999,-21706.469999999998,-6244.965,393.705,-29029.5,-10847.699999999999,-4400.55
-10675.755,-11427.975,-21716.864999999998,-6275.7,380.655,-29031.795,-10868.49,-4441.005
-10674.494999999999,-11439.99,-21754.17,-6287.535,385.11,-28984.274999999998,-10874.205,-4465.71
-10691.055,-11478.6,-21795.614999999998,-6316.83,408.06,-28901.204999999998,-10835.955,-4473.2699999999995
-10691.73,-11485.17,-21817.665,-6389.955,349.38,-28926.809999999998,-10837.845,-4454.73
-10679.4,-11462.85,-21792.51,-6340.7699999999995,346.09499999999997,-28923.12,-10823.265,-4461.48
-10685.43,-11442.285,-21721.545,-6221.835,417.375,-28899.315,-10795.005,-4456.62
-10685.385,-11458.755,-21734.684999999998,-6238.304999999999,432.585,-28923.885,-10804.455,-4428.945
-10654.335,-11498.58,-21790.665,-6312.51,334.71,-28996.02,-10838.88,-4325.94
-10611.404999999999,-11451.869999999999,-21727.53,-6255.855,347.58,-29020.59,-10861.875,-4329.315
-10632.15,-11431.17,-21685.68,-6231.42,378.45,-29034.719999999998,-10863.855,-4404.465
-10664.19,-11440.08,-21708.989999999998,-6247.844999999999,350.955,-29029.41,-10858.59,-4409.37
-10656.315,-11482.74,-21780.629999999997,-6255.405,353.655,-28952.82,-10841.355,-4345.47
-10651.32,-11468.789999999999,-21776.715,-6227.054999999999,388.53,-28911.105,-10822.68,-4374.224999999999
