ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-8408.97,-10964.925,-20716.29,-5112.135,1061.19,-27048.78,-13064.49,-4623.48
-8397.9,-10959.48,-20709.855,-5110.83,1059.75,-27044.37,-13055.76,-4605.615
-8408.925,-10964.115,-20710.44,-5113.62,1054.665,-27046.215,-13058.505,-4617.585
-8411.265,-10968.345,-20720.475,-5116.905,1053.36,-27060.93,-13067.595,-4625.37
-8409.24,-10966.545,-20720.204999999998,-5115.465,1055.8799999999999,-27061.335,-13069.439999999999,-4628.79
-8406.449999999999,-10960.38,-20713.68,-5108.13,1063.395,-27053.28,-13066.515,-4631.3099999999995
-8403.705,-10952.46,-20703.329999999998,-5097.0599999999995,1075.32,-27040.184999999998,-13062.465,-4639.365
-8405.505,-10947.914999999999,-20697.704999999998,-5090.715,1082.295,-27030.645,-13059.494999999999,-4650.255
-8412.3,-10953.765,-20702.475,-5095.9349999999995,1077.48,-27031.004999999997,-13056.975,-4647.15
-8416.44,-10965.914999999999,-20715.614999999998,-5110.155,1062.09,-27042.21,-13057.965,-4632.525
-8415.945,-10974.6,-20727.945,-5124.6449999999995,1048.905,-27054.225,-13062.285,-4622.22
-8409.375,-10976.67,-20734.38,-5132.07,1040.715,-27065.16,-13067.46,-4614.165
-8406.675,-10967.039999999999,-20724.344999999998,-5120.82,1051.92,-27058.905,-13065.029999999999,-4624.514999999999
-8417.43,-10967.805,-20721.195,-5116.815,1056.0149999999999,-27056.745,-13069.305,-4646.115
-8419.23,-10968.029999999999,-20720.61,-5116.005,1056.2849999999999,-27056.295,-13069.484999999999,-4647.014999999999
-8416.035,-10967.13,-20721.465,-5116.815,1055.475,-27054.765,-13065.93,-4638.465
-8415.27,-10969.244999999999,-20724.39,-5119.514999999999,1052.9099999999999,-27052.739999999998,-13063.725,-4629.6449999999995
-8412.255,-10975.365,-20732.67,-5128.245,1043.5049999999999,-27057.015,-13063.68,-4617.179999999999
-8414.82,-10978.199999999999,-20733.795,-5128.5599999999995,1043.46,-27054.809999999998,-13061.88,-4620.014999999999
-8411.039999999999,-10969.965,-20725.245,-5119.74,1052.7749999999999,-27046.8,-13058.414999999999,-4623.929999999999
-8409.914999999999,-10967.58,-20722.23,-5116.905,1056.24,-27045.135,-13057.154999999999,-4626.0
-8410.59,-10966.904999999999,-20721.015,-5115.285,1057.1399999999999,-27047.475,-13058.1,-4627.26
-8409.375,-10964.744999999999,-20719.125,-5112.99,1058.94,-27048.465,-13057.56,-4626.99
-8409.555,-10964.654999999999,-20718.945,-5113.215,1058.94,-27048.96,-13058.82,-4628.34
-8410.68,-10965.42,-20719.89,-5113.62,1058.76,-27050.039999999997,-13059.135,-4629.42
-8410.635,-10966.365,-20719.665,-5114.835,1058.355,-27049.68,-13059.225,-4629.6449999999995
-8412.705,-10968.885,-20721.375,-5115.87,1058.715,-27047.295,-13058.64,-4632.615
-8417.16,-10972.71,-20723.355,-5117.445,1057.545,-27045.539999999997,-13058.234999999999,-4636.08
-8417.115,-10971.99,-20723.309999999998,-5116.995,1058.58,-27043.065,-13056.119999999999,-4635.945
-8413.92,-10968.48,-20719.755,-5113.53,1062.045,-27040.41,-13053.779999999999,-4632.66
-8408.699999999999,-10963.619999999999,-20716.739999999998,-5111.37,1062.585,-27041.895,-13055.265,-4630.679999999999
-8405.235,-10959.164999999999,-20713.905,-5111.415,1061.9099999999999,-27045.405,-13057.92,-4630.5
-8406.72,-10960.02,-20714.355,-5110.965,1063.53,-27047.114999999998,-13057.695,-4631.445
-8408.34,-10960.695,-20714.489999999998,-5110.695,1063.8899999999999,-27048.465,-13057.244999999999,-4631.49
-8414.865,-10967.445,-20720.745,-5117.355,1059.3,-27053.055,-13057.109999999999,-4633.245
-8414.19,-10967.49,-20719.89,-5116.455,1061.145,-27051.03,-13054.545,-4631.175
-8415.539999999999,-10969.38,-20721.059999999998,-5117.849999999999,1059.795,-27049.905,-13056.119999999999,-4633.695
-8413.335,-10968.345,-20720.7,-5118.389999999999,1058.85,-27048.465,-13056.615,-4632.03
-8410.77,-10966.949999999999,-20719.934999999998,-5118.4349999999995,1058.355,-27045.945,-13055.625,-4630.365
-8409.015,-10964.295,-20716.515,-5114.88,1062.27,-27041.445,-13052.97,-4628.295
-8410.275,-10964.43,-20716.649999999998,-5114.655,1062.99,-27042.614999999998,-13052.97,-4628.655
-8414.775,-10968.84,-20721.105,-5118.4349999999995,1059.3899999999999,-27048.465,-13056.615,-4633.29
-8414.1,-10968.3,-20720.204999999998,-5117.355,1059.885,-27050.94,-13056.615,-4632.75
-8408.88,-10961.189999999999,-20709.719999999998,-5110.47,1064.43,-27041.85,-13050.585,-4627.26
-8406.72,-10959.84,-20710.035,-5110.74,1065.33,-27042.164999999997,-13050.494999999999,-4626.54
-8405.055,-10959.75,-20713.094999999998,-5111.639999999999,1066.23,-27044.28,-13051.215,-4626.45
-8406.494999999999,-10959.119999999999,-20711.475,-5109.57,1068.03,-27040.454999999998,-13050.0,-4628.88
-8408.385,-10961.369999999999,-20713.05,-5111.775,1066.0049999999999,-27038.34,-13050.09,-4629.915
-8407.17,-10960.83,-20713.5,-5111.865,1066.095,-27036.045,-13049.279999999999,-4629.375
-8413.515,-10964.43,-20716.425,-5115.014999999999,1063.26,-27037.035,-13050.99,-4635.54
-8411.625,-10965.375,-20717.954999999998,-5116.905,1061.01,-27039.329999999998,-13051.394999999999,-4629.599999999999
-8404.605,-10958.13,-20705.94,-5111.46,1062.54,-27029.835,-13046.13,-4622.985
-8401.455,-10948.59,-20683.934999999998,-5104.98,1061.46,-27008.37,-13034.43,-4619.88
-8408.565,-10959.705,-20704.454999999998,-5114.34,1056.375,-27031.5,-13045.23,-4626.8099999999995
-8420.76,-10970.82,-20722.59,-5118.929999999999,1058.31,-27046.934999999998,-13053.824999999999,-4637.655
-8423.595,-10973.205,-20725.2,-5120.775,1057.86,-27046.8,-13054.904999999999,-4639.905
-8418.15,-10968.795,-20721.465,-5117.715,1060.335,-27041.76,-13054.769999999999,-4638.78
-8412.029999999999,-10963.935,-20717.19,-5114.025,1063.215,-27036.315,-13051.8,-4633.065
-8407.395,-10961.234999999999,-20715.614999999998,-5111.639999999999,1065.105,-27032.445,-13047.255,-4627.44
-8416.845,-10966.455,-20718.045,-5113.3949999999995,1063.98,-27032.399999999998,-13049.82,-4639.139999999999
-8417.565,-10969.109999999999,-20720.565,-5116.139999999999,1061.5049999999999,-27034.469999999998,-13051.17,-4637.16
-8413.47,-10966.994999999999,-20719.934999999998,-5116.679999999999,1060.245,-27037.98,-13050.404999999999,-4631.67
-8413.425,-10967.13,-20719.215,-5116.05,1061.055,-27039.015,-13046.13,-4629.014999999999
-8409.914999999999,-10965.24,-20718.719999999998,-5117.445,1059.345,-27042.795,-13047.795,-4625.73
-8407.755,-10963.529999999999,-20719.89,-5119.695,1056.1499999999999,-27045.539999999997,-13050.855,-4627.44
-8411.49,-10961.055,-20715.165,-5114.34,1061.9099999999999,-27038.16,-13048.875,-4633.47
-8411.985,-10959.255,-20711.204999999998,-5110.605,1066.4099999999999,-27032.355,-13048.56,-4637.385
-8410.32,-10960.74,-20713.77,-5113.9349999999995,1063.08,-27031.905,-13046.355,-4632.3
-8415.99,-10968.435,-20721.87,-5121.99,1054.8899999999999,-27035.82,-13045.994999999999,-4632.48
-8416.44,-10966.994999999999,-20719.17,-5118.615,1058.76,-27031.364999999998,-13041.09,-4631.94
-8421.66,-10970.279999999999,-20719.89,-5117.94,1058.355,-27031.995,-13045.68,-4638.465
-8420.039999999999,-10969.74,-20719.98,-5118.66,1058.3999999999999,-27035.37,-13049.189999999999,-4634.82
-8415.045,-10969.605,-20721.645,-5120.639999999999,1057.68,-27038.295,-13047.525,-4626.179999999999
-8417.115,-10969.785,-20722.14,-5120.955,1057.2749999999999,-27040.59,-13048.335,-4632.21
-8425.89,-10970.279999999999,-20720.7,-5118.795,1059.12,-27041.85,-13054.59,-4655.97
-8430.975,-10966.68,-20715.21,-5113.17,1064.07,-27037.844999999998,-13056.029999999999,-4672.53
-8422.605,-10962.494999999999,-20712.149999999998,-5110.2,1067.085,-27033.75,-13050.225,-4658.445
-8412.57,-10963.395,-20714.13,-5112.63,1065.555,-27029.7,-13037.039999999999,-4626.179999999999
-8411.895,-10971.99,-20723.085,-5121.224999999999,1057.4099999999999,-27032.805,-13033.17,-4606.335
-8417.115,-10978.244999999999,-20729.655,-5128.065,1050.21,-27039.96,-13038.255,-4607.415
-8410.23,-10970.595,-20724.66,-5125.095,1053.135,-27040.815,-13040.01,-4610.34
-8414.235,-10970.775,-20726.1,-5127.84,1050.705,-27046.305,-13045.725,-4622.445
-8420.67,-10972.529999999999,-20726.19,-5126.355,1052.1,-27047.789999999997,-13045.59,-4626.9
-8421.795,-10973.34,-20725.92,-5125.095,1053.6299999999999,-27048.78,-13045.68,-4627.755
-8419.275,-10970.279999999999,-20722.635,-5121.315,1058.1299999999999,-27045.539999999997,-13043.744999999999,-4626.855
-8421.93,-10970.91,-20724.255,-5123.115,1056.87,-27045.495,-13044.105,-4629.87
-8421.84,-10969.335,-20721.915,-5120.55,1059.705,-27040.995,-13043.744999999999,-4632.929999999999
-8414.685,-10960.515,-20714.715,-5114.835,1064.1599999999999,-27035.46,-13043.385,-4633.155
-8415.045,-10958.625,-20712.465,-5112.09,1066.95,-27030.87,-13043.519999999999,-4639.545
-8419.77,-10960.875,-20712.69,-5111.054999999999,1068.48,-27028.844999999998,-13044.24,-4648.455
-8424.945,-10971.945,-20722.59,-5119.065,1061.955,-27032.76,-13040.1,-4640.67
-8434.395,-10980.0,-20728.844999999998,-5124.69,1056.2849999999999,-27038.385,-13043.295,-4644.179999999999
-8421.255,-10970.73,-20723.579999999998,-5121.99,1057.32,-27040.995,-13041.18,-4628.025
-8410.904999999999,-10965.914999999999,-20722.32,-5121.179999999999,1057.455,-27042.614999999998,-13038.705,-4614.4349999999995
-8408.565,-10958.67,-20715.434999999998,-5115.195,1062.495,-27042.12,-13040.82,-4621.724999999999
-8406.945,-10955.07,-20712.329999999998,-5112.09,1064.835,-27039.239999999998,-13041.045,-4626.2699999999995
-8414.64,-10962.945,-20720.79,-5119.38,1058.625,-27042.03,-13044.06,-4631.849999999999
-8412.164999999999,-10959.3,-20717.82,-5116.23,1062.27,-27036.945,-13042.574999999999,-4631.76
-8413.695,-10961.595,-20720.295,-5120.46,1058.67,-27036.0,-13040.64,-4628.97
-8419.185,-10970.73,-20728.8,-5127.66,1052.1,-27039.87,-13038.029999999999,-4626.72
-8419.005,-10966.185,-20722.005,-5118.345,1060.47,-27035.414999999997,-13037.265,-4632.255
-8427.42,-10973.88,-20727.63,-5124.24,1052.7749999999999,-27044.64,-13042.71,-4637.295
-8428.095,-10981.17,-20737.26,-5134.05,1043.595,-27055.844999999998,-13045.005,-4631.67
-8417.835,-10968.39,-20720.925,-5123.115,1050.12,-27046.26,-13038.57,-4627.3949999999995
-8413.11,-10961.595,-20710.125,-5116.59,1054.7549999999999,-27035.414999999997,-13032.765,-4625.46
-8410.68,-10957.904999999999,-20708.954999999998,-5111.865,1062.18,-27035.91,-13035.195,-4631.76
-8400.06,-10941.3,-20696.625,-5093.595,1081.935,-27026.73,-13033.439999999999,-4643.1449999999995
-8398.89,-10934.189999999999,-20689.515,-5084.73,1091.61,-27015.84,-13028.265,-4649.8949999999995
-8407.395,-10939.904999999999,-20694.915,-5089.545,1087.7849999999999,-27016.11,-13027.275,-4651.875
-8428.32,-10968.3,-20722.364999999998,-5115.554999999999,1063.0349999999999,-27035.55,-13032.72,-4645.53
-8437.77,-10992.42,-20746.125,-5139.495,1040.175,-27056.204999999998,-13044.779999999999,-4633.245
-8425.529999999999,-10980.359999999999,-20736.899999999998,-5131.98,1046.205,-27057.015,-13050.63,-4636.215
-8426.295,-10976.085,-20730.96,-5125.455,1054.26,-27053.684999999998,-13047.029999999999,-4643.054999999999
-8425.664999999999,-10969.695,-20721.329999999998,-5113.62,1065.375,-27048.42,-13041.404999999999,-4649.67
-8423.324999999999,-10968.39,-20715.795,-5105.115,1072.35,-27045.629999999997,-13037.355,-4649.175
-8412.525,-10954.08,-20700.27,-5087.115,1089.54,-27029.925,-13032.63,-4653.764999999999
-8431.02,-10966.095,-20713.094999999998,-5098.41,1081.53,-27027.989999999998,-13034.88,-4673.835
-8415.99,-10962.9,-20721.149999999998,-5116.275,1059.795,-27043.785,-13037.58,-4638.014999999999
-8392.725,-10961.82,-20732.85,-5137.695,1037.61,-27061.695,-13032.765,-4586.175
-8387.55,-10961.189999999999,-20733.165,-5137.965,1038.105,-27059.579999999998,-13029.39,-4579.965
-8377.02,-10938.42,-20704.14,-5102.865,1071.18,-27037.17,-13025.25,-4599.99
-8407.619999999999,-10940.13,-20693.61,-5088.735,1089.135,-27025.425,-13026.33,-4653.405
-8428.455,-10941.119999999999,-20687.085,-5079.554999999999,1101.195,-27018.09,-13030.064999999999,-4699.8
-8438.715,-10946.564999999999,-20686.68,-5081.849999999999,1096.92,-27014.445,-13026.869999999999,-4703.804999999999
-8434.98,-10966.23,-20714.715,-5109.21,1073.835,-27031.41,-13019.58,-4654.485
-8417.43,-10974.689999999999,-20735.1,-5132.474999999999,1050.84,-27053.235,-13026.779999999999,-4614.705
-8419.68,-10992.779999999999,-20756.655,-5156.46,1026.81,-27071.1,-13039.47,-4599.45
-8425.619999999999,-10982.115,-20743.92,-5143.275,1036.935,-27065.789999999997,-13054.005,-4639.7699999999995
-8431.695,-10970.685,-20726.594999999998,-5120.19,1060.7849999999999,-27047.52,-13051.26,-4675.275
-8422.38,-10961.324999999999,-20716.38,-5107.005,1075.095,-27033.39,-13044.105,-4670.505
-8410.545,-10952.82,-20709.18,-5099.535,1085.31,-27019.35,-13025.295,-4645.26
-8418.555,-10977.93,-20737.035,-5132.025,1055.565,-27041.489999999998,-13020.93,-4607.235
-8418.735,-10987.064999999999,-20751.165,-5153.8949999999995,1026.945,-27074.475,-13038.345,-4587.66
-8431.065,-10990.574999999999,-20755.44,-5163.4349999999995,1011.105,-27096.75,-13063.994999999999,-4629.0599999999995
-8449.38,-10983.779999999999,-20742.165,-5147.415,1027.0349999999999,-27088.739999999998,-13076.955,-4693.635
-8444.07,-10967.805,-20721.239999999998,-5123.745,1051.875,-27064.89,-13068.135,-4705.335
-8431.289999999999,-10956.42,-20706.57,-5105.385,1073.97,-27037.215,-13046.939999999999,-4689.405
-8397.675,-10945.935,-20701.079999999998,-5101.74,1075.635,-27028.664999999997,-13020.885,-4615.335
-8370.945,-10944.945,-20706.57,-5112.315,1061.7749999999999,-27036.045,-13002.57,-4543.245
-8384.13,-10945.755,-20701.079999999998,-5105.16,1068.48,-27032.715,-13006.17,-4568.445
-8390.34,-10945.845,-20697.975,-5102.46,1067.1299999999999,-27041.265,-13015.71,-4583.474999999999
-8386.92,-10937.925,-20693.07,-5098.679999999999,1072.26,-27045.765,-13033.215,-4605.389999999999
-8384.58,-10929.824999999999,-20694.69,-5103.855,1071.36,-27051.93,-13063.725,-4634.639999999999
-8388.81,-10922.265,-20683.26,-5096.429999999999,1079.955,-27035.37,-13054.14,-4651.245
-8414.73,-10946.34,-20698.829999999998,-5108.49,1073.925,-27026.82,-13032.18,-4657.095
-8452.17,-11007.63,-20757.555,-5167.08,1016.055,-27069.704999999998,-13051.35,-4645.98
-8457.435,-11035.664999999999,-20795.94,-5206.139999999999,969.9749999999999,-27111.6,-13092.164999999999,-4630.095
-8447.31,-11017.664999999999,-20771.415,-5183.37,988.6949999999999,-27092.07,-13079.385,-4627.71
-8443.395,-11009.564999999999,-20761.335,-5170.41,1012.4549999999999,-27068.309999999998,-13059.269999999999,-4639.905
-8441.414999999999,-10998.99,-20748.329999999998,-5154.4349999999995,1032.12,-27065.114999999998,-13068.99,-4649.3099999999995
-8414.055,-10961.82,-20714.13,-5126.67,1056.735,-27047.16,-13067.01,-4640.715
-8389.26,-10922.85,-20670.344999999998,-5080.545,1108.62,-26995.725,-13053.375,-4634.1449999999995
-8365.185,-10894.814999999999,-20641.905,-5048.639999999999,1143.135,-26966.16,-13050.99,-4621.41
-8379.09,-10907.64,-20655.765,-5078.07,1101.33,-26987.445,-13066.92,-4633.605
-8414.865,-10962.135,-20715.57,-5153.085,1017.99,-27028.754999999997,-13054.05,-4641.03
-8393.535,-10949.49,-20708.37,-5150.79,1000.17,-27027.809999999998,-13042.619999999999,-4621.095
-8413.289999999999,-10963.845,-20721.69,-5147.595,1005.48,-27004.545,-12985.38,-4663.26
-8443.71,-10982.52,-20730.735,-5139.54,1042.155,-26979.524999999998,-12941.234999999999,-4683.6449999999995
-8455.365,-10989.314999999999,-20730.465,-5125.32,1086.705,-26949.78,-12908.295,-4678.38
-8455.994999999999,-11009.115,-20754.719999999998,-5141.25,1092.87,-26956.215,-12910.455,-4652.19
-8454.69,-11043.404999999999,-20807.415,-5199.57,1040.31,-26999.954999999998,-12915.09,-4611.105
-8443.305,-11019.24,-20786.805,-5195.115,1019.025,-27017.684999999998,-12924.945,-4622.13
-8434.845,-10988.64,-20750.67,-5163.974999999999,1031.67,-26992.35,-12925.215,-4649.804999999999
