Teilnehmer_ID,Alter,Geschlecht,Test_Order,Bedingung,TLX_Mental,TLX_Koerperlich,TLX_Zeitlich,TLX_Leistung,TLX_Anstrengung,TLX_Frustration,SUS_01_haeufig_nutzen,SUS_02_komplex,SUS_03_einfach,SUS_04_support,SUS_05_integriert,SUS_06_inkonsistent,SUS_07_schnell_lernen,SUS_08_umstaendlich,SUS_09_sicher,SUS_10_viele_dinge
P15,24,Männlich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),4,5,3,4,3,1,6,2,5,1,5,2,3,1,4,1
P15,24,Männlich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),3,3,2,6,4,1,5,1,5,2,4,3,2,1,5,3
P16,21,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),3,1,3,5,2,2,4,1,5,3,4,2,2,1,4,2
P16,21,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),3,2,2,5,3,2,4,2,4,3,4,2,3,3,4,3
P17,23,Weiblich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),6,5,4,5,6,4,2,3,2,4,3,2,2,3,2,4
P17,23,Weiblich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),3,3,2,6,3,2,5,2,5,3,4,1,3,2,5,4
P18,22,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),3,1,3,5,2,3,5,1,4,1,4,2,4,1,5,2
P18,22,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),4,4,2,5,4,2,4,2,5,3,5,2,2,2,5,3
P19,29,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),1,2,4,6,6,1,5,2,5,1,5,1,5,1,5,1
P19,29,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),2,3,3,7,3,2,5,1,5,1,5,1,5,3,5,1
P20,24,Männlich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),1,1,1,6,1,1,4,1,5,1,5,1,4,1,4,1
P20,24,Männlich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),2,1,2,4,2,2,4,2,4,1,4,2,4,1,2,1
P21,24,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),2,1,2,5,2,3,2,1,4,1,4,2,5,2,2,1
P21,24,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),3,3,2,3,2,3,1,4,2,1,2,3,4,4,2,1
P22,27,Weiblich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),4,2,1,1,4,4,2,1,4,2,4,1,5,2,4,2
P22,27,Weiblich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),2,1,1,4,2,2,4,1,5,1,5,1,5,1,5,2
P23,29,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),2,1,1,7,1,1,5,1,5,1,5,1,5,1,5,1
P23,29,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),3,1,1,7,1,1,4,1,5,1,5,1,4,1,5,1
P13,27,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),2,2,2,6,3,3,3,1,4,1,4,1,3,2,4,1
P13,27,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),2,3,5,3,4,3,3,2,2,2,4,2,2,4,2,2
