ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-10860.164999999999,-11638.215,-22390.02,-6458.759999999999,544.41,-30080.25,-12777.885,-4201.065
-10866.465,-11649.375,-22406.85,-6507.63,472.455,-30157.289999999997,-12869.01,-4219.92
-10846.395,-11651.13,-22422.375,-6522.929999999999,482.94,-30124.71,-12901.814999999999,-4187.97
-10866.06,-11689.47,-22469.85,-6593.264999999999,463.22999999999996,-30115.125,-12848.49,-4162.05
-10908.449999999999,-11726.64,-22533.21,-6647.58,408.73499999999996,-30204.629999999997,-12868.695,-4205.295
-10885.725,-11683.89,-22492.844999999998,-6552.495,476.19,-30136.949999999997,-12896.73,-4230.63
-10917.99,-11704.814999999999,-22471.695,-6513.48,473.4,-30123.719999999998,-12919.365,-4274.235
-10905.84,-11711.295,-22449.285,-6523.74,490.005,-30045.465,-12715.92,-4211.73
-10821.555,-11637.18,-22396.41,-6482.384999999999,571.5,-30003.75,-12691.08,-4117.455
-10795.725,-11618.505,-22429.215,-6513.12,525.735,-30112.92,-12771.945,-4102.965
-10853.82,-11702.16,-22551.93,-6592.815,458.01,-30183.57,-12805.83,-4155.885
-10844.279999999999,-11667.15,-22477.59,-6525.179999999999,454.95,-30208.68,-12848.805,-4170.33
-10822.23,-11599.605,-22346.864999999998,-6474.554999999999,463.68,-30172.995,-12875.22,-4170.69
-10845.404999999999,-11624.805,-22359.015,-6463.17,452.47499999999997,-30175.605,-12849.345,-4177.889999999999
-10854.99,-11648.564999999999,-22388.129999999997,-6500.79,446.94,-30170.52,-12796.515,-4163.22
-10852.965,-11651.984999999999,-22421.295,-6498.54,515.295,-30104.864999999998,-12794.85,-4168.3949999999995
-10849.949999999999,-11654.865,-22453.245,-6502.7699999999995,586.98,-29996.1,-12771.314999999999,-4172.264999999999
-10863.81,-11668.994999999999,-22443.48,-6503.49,547.245,-30060.405,-12800.925,-4186.53
-10867.725,-11661.39,-22411.71,-6518.295,482.265,-30113.954999999998,-12843.135,-4201.785
-10846.529999999999,-11635.38,-22401.405,-6507.09,475.10999999999996,-30110.085,-12810.33,-4186.349999999999
-10840.05,-11630.385,-22389.39,-6470.054999999999,476.46,-30085.829999999998,-12729.195,-4164.165
-10837.395,-11627.64,-22374.809999999998,-6486.21,480.24,-30118.995,-12798.09,-4163.085
-10850.265,-11637.494999999999,-22387.725,-6489.179999999999,481.995,-30217.364999999998,-12922.289999999999,-4188.555
-10842.705,-11633.13,-22410.135,-6475.139999999999,515.34,-30200.895,-12896.73,-4185.63
-10837.08,-11632.32,-22416.165,-6443.37,554.625,-30061.62,-12739.005,-4162.995
