ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-10788.255,-11640.42,-22208.04,-6436.215,472.40999999999997,-30004.155,-12436.38,-4283.1449999999995
-10756.215,-11590.38,-22176.809999999998,-6416.415,469.97999999999996,-29938.05,-12317.085,-4226.715
-10720.35,-11539.305,-22123.665,-6366.915,521.865,-29926.035,-12418.965,-4220.955
-10750.59,-11564.414999999999,-22141.35,-6387.075,489.555,-30046.815,-12528.314999999999,-4261.995
-10769.67,-11587.14,-22166.684999999998,-6417.405,459.04499999999996,-30097.44,-12510.765,-4269.195
-10771.515,-11593.664999999999,-22172.219999999998,-6428.474999999999,450.09,-30064.094999999998,-12478.994999999999,-4273.155
-10763.1,-11601.585,-22179.69,-6421.815,484.515,-29949.48,-12376.125,-4251.24
-10763.73,-11591.73,-22172.445,-6412.139999999999,486.27,-29999.61,-12418.154999999999,-4251.51
-10748.295,-11555.505,-22129.92,-6383.07,505.16999999999996,-30012.3,-12438.585,-4243.139999999999
-10740.555,-11559.689999999999,-22138.739999999998,-6390.855,496.71,-30004.92,-12436.38,-4238.415
-10750.365,-11581.65,-22164.12,-6407.505,509.66999999999996,-29921.355,-12381.39,-4231.53
-10747.26,-11577.195,-22157.64,-6402.285,513.495,-29923.695,-12390.525,-4236.84
-10738.26,-11551.365,-22126.815,-6371.73,533.2049999999999,-29926.215,-12423.824999999999,-4247.82
-10763.505,-11550.195,-22106.925,-6343.605,572.4449999999999,-29898.989999999998,-12455.324999999999,-4294.755
-10793.115,-11591.189999999999,-22150.44,-6399.045,520.245,-29938.725,-12450.555,-4306.23
-10749.824999999999,-11584.305,-22168.934999999998,-6445.71,428.98499999999996,-30033.765,-12431.654999999999,-4233.195
-10734.84,-11582.73,-22174.559999999998,-6437.429999999999,441.45,-30029.445,-12399.21,-4211.91
-10749.645,-11585.654999999999,-22161.87,-6372.045,543.42,-29962.89,-12413.88,-4243.995
-10738.8,-11555.955,-22129.605,-6344.55,585.18,-29912.94,-12440.97,-4262.805
-10747.574999999999,-11549.789999999999,-22130.37,-6371.28,569.79,-29919.78,-12458.34,-4291.425
-10740.96,-11551.904999999999,-22141.17,-6388.155,525.465,-29991.239999999998,-12464.189999999999,-4277.97
-10752.119999999999,-11601.765,-22195.89,-6459.84,413.37,-30105.135,-12426.435,-4216.005
-10730.654999999999,-11572.65,-22166.19,-6469.514999999999,400.275,-30067.785,-12389.939999999999,-4205.115
-10757.835,-11586.645,-22168.934999999998,-6449.715,449.37,-29980.664999999997,-12364.56,-4244.58
-10731.42,-11553.84,-22126.23,-6381.99,538.515,-29918.789999999997,-12385.845,-4223.97
-10721.07,-11546.82,-22128.48,-6395.219999999999,529.515,-29980.079999999998,-12424.095,-4206.465
-10770.074999999999,-11606.939999999999,-22197.69,-6459.884999999999,470.655,-30045.555,-12426.345,-4254.03
-10784.115,-11621.52,-22203.495,-6430.545,476.685,-30084.704999999998,-12493.574999999999,-4289.625
-10743.119999999999,-11576.16,-22156.515,-6369.57,530.415,-30066.57,-12528.314999999999,-4259.745
-10693.35,-11516.445,-22107.42,-6387.389999999999,484.155,-30055.004999999997,-12479.22,-4206.014999999999
-10664.01,-11478.465,-22067.504999999997,-6360.3,455.13,-30116.295,-12465.81,-4185.855
-10702.8,-11521.305,-22103.954999999998,-6374.655,481.185,-30096.675,-12404.925,-4207.545
-10757.115,-11581.92,-22153.364999999998,-6381.585,512.685,-29923.379999999997,-12386.34,-4248.18
-10800.72,-11634.885,-22207.41,-6411.33,458.82,-29960.324999999997,-12499.244999999999,-4293.945
-10776.645,-11608.605,-22190.67,-6412.365,485.37,-29962.98,-12525.93,-4290.03
-10738.98,-11575.215,-22151.655,-6389.955,508.22999999999996,-29918.52,-12420.585,-4251.915
