ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-12435.255,-12111.93,-23608.305,-6859.844999999999,522.81,-29427.03,-10284.164999999999,-3900.5099999999998
-12421.125,-12091.904999999999,-23583.915,-6840.719999999999,549.72,-29378.925,-10240.065,-3892.455
-12410.55,-12077.73,-23569.155,-6822.99,569.34,-29369.925,-10218.555,-3884.31
-12416.22,-12086.775,-23576.985,-6822.495,568.125,-29377.395,-10214.865,-3877.83
-12430.08,-12105.9,-23594.085,-6834.465,543.285,-29396.565,-10239.074999999999,-3885.345
-12428.01,-12106.71,-23595.524999999998,-6835.995,538.245,-29397.825,-10240.515,-3879.855
-12419.414999999999,-12098.07,-23591.204999999998,-6835.094999999999,546.48,-29393.055,-10248.615,-3877.1099999999997
-12420.99,-12095.82,-23586.614999999998,-6828.66,556.38,-29385.765,-10246.095,-3881.8799999999997
-12414.869999999999,-12087.135,-23577.57,-6818.445,568.5749999999999,-29369.745,-10219.815,-3878.685
-12413.925,-12085.02,-23572.17,-6820.065,562.68,-29372.489999999998,-10227.824999999999,-3882.96
-12417.75,-12089.835,-23579.19,-6826.815,555.7049999999999,-29385.09,-10234.44,-3885.435
-12417.93,-12091.725,-23584.77,-6828.795,558.855,-29383.92,-10233.09,-3883.14
-12418.92,-12092.625,-23585.94,-6830.82,555.885,-29390.625,-10238.49,-3884.265
-12421.845,-12094.83,-23586.614999999998,-6832.44,553.86,-29392.289999999997,-10238.94,-3884.535
-12433.005,-12112.965,-23605.245,-6847.65,542.025,-29397.239999999998,-10244.744999999999,-3888.72
-12436.83,-12126.555,-23625.0,-6867.045,525.51,-29404.395,-10251.27,-3889.2149999999997
-12437.595,-12127.455,-23634.54,-6886.755,503.145,-29425.364999999998,-10263.645,-3891.1949999999997
-12440.699999999999,-12115.439999999999,-23613.795,-6860.429999999999,528.21,-29408.94,-10264.005,-3905.46
-12433.545,-12101.22,-23593.23,-6837.12,545.4,-29397.51,-10257.39,-3900.285
-12421.845,-12093.795,-23582.52,-6822.54,560.385,-29380.32,-10239.615,-3886.92
-12421.125,-12096.63,-23583.329999999998,-6828.974999999999,556.11,-29382.524999999998,-10230.795,-3883.3199999999997
-12420.539999999999,-12100.5,-23590.98,-6847.785,540.27,-29395.35,-10233.99,-3881.0699999999997
-12419.145,-12102.84,-23607.989999999998,-6878.655,527.355,-29411.864999999998,-10245.195,-3878.2799999999997
-12417.885,-12100.23,-23602.77,-6881.13,531.18,-29408.579999999998,-10248.525,-3877.29
-12421.305,-12088.935,-23575.635,-6851.474999999999,547.425,-29391.434999999998,-10245.734999999999,-3887.8199999999997
-12425.445,-12097.35,-23591.07,-6827.04,552.645,-29380.545,-10228.904999999999,-3889.98
-12414.195,-12089.475,-23576.129999999997,-6799.634999999999,564.84,-29373.704999999998,-10228.5,-3880.44
-12409.335,-12091.635,-23577.795,-6825.15,558.99,-29379.105,-10244.295,-3874.68
-12417.795,-12096.855,-23592.825,-6849.764999999999,553.545,-29378.565,-10241.369999999999,-3882.285
-12418.695,-12093.39,-23600.745,-6871.679999999999,558.63,-29378.475,-10240.47,-3884.85
-12421.215,-12099.869999999999,-23616.09,-6908.849999999999,548.685,-29390.94,-10244.16,-3884.265
-12414.195,-12093.975,-23620.364999999998,-6930.945,539.9549999999999,-29377.125,-10233.72,-3877.4249999999997
-12422.25,-12100.545,-23608.98,-6912.315,520.155,-29377.934999999998,-10234.935,-3885.39
-12440.07,-12126.869999999999,-23634.09,-6877.349999999999,506.96999999999997,-29416.725,-10250.955,-3896.865
-12441.914999999999,-12126.914999999999,-23622.93,-6844.05,504.35999999999996,-29423.07,-10257.885,-3898.7549999999997
-12427.515,-12095.234999999999,-23569.245,-6789.554999999999,538.56,-29408.94,-10266.66,-3895.92
-12408.93,-12074.76,-23552.235,-6782.445,571.41,-29372.76,-10235.52,-3879.225
-12410.369999999999,-12078.855,-23565.239999999998,-6814.08,564.345,-29371.545,-10239.795,-3878.2799999999997
-12423.24,-12094.785,-23589.989999999998,-6858.99,537.12,-29400.254999999997,-10254.15,-3885.975
-12436.335,-12114.449999999999,-23613.84,-6888.87,501.57,-29441.789999999997,-10264.725,-3892.0049999999997
-12445.74,-12124.395,-23617.215,-6872.804999999999,493.10999999999996,-29458.44,-10280.565,-3900.69
-12439.17,-12115.89,-23604.254999999997,-6832.62,531.81,-29408.94,-10261.755,-3899.745
-12413.789999999999,-12087.225,-23565.42,-6773.4,579.285,-29363.985,-10237.365,-3879.9449999999997
-12422.789999999999,-12096.27,-23561.55,-6796.215,549.72,-29386.485,-10248.39,-3886.1099999999997
-12434.76,-12111.705,-23587.829999999998,-6830.639999999999,527.22,-29392.739999999998,-10244.34,-3892.5
-12435.48,-12114.314999999999,-23600.43,-6836.13,535.095,-29383.245,-10229.805,-3889.395
-12422.07,-12091.635,-23577.254999999997,-6812.505,562.005,-29371.68,-10254.375,-3894.75
-12420.09,-12085.154999999999,-23567.67,-6807.87,563.22,-29366.82,-10257.029999999999,-3900.69
-12421.755,-12093.3,-23579.954999999998,-6822.09,550.98,-29367.495,-10222.515,-3889.17
-12415.68,-12088.08,-23577.165,-6818.804999999999,557.685,-29364.795,-10201.815,-3878.2799999999997
-12411.18,-12081.734999999999,-23572.079999999998,-6816.285,557.775,-29374.515,-10218.6,-3880.35
-12411.494999999999,-12090.06,-23579.504999999997,-6830.415,541.305,-29387.7,-10224.99,-3868.605
-12427.02,-12110.805,-23610.42,-6864.165,505.755,-29422.305,-10252.755,-3883.3199999999997
-12431.25,-12112.244999999999,-23611.995,-6864.84,510.255,-29415.96,-10255.275,-3889.44
-12430.484999999999,-12104.64,-23593.32,-6837.525,543.555,-29384.55,-10234.125,-3888.315
-12425.85,-12102.885,-23594.85,-6837.344999999999,547.47,-29376.585,-10221.84,-3885.8849999999998
-12426.119999999999,-12110.085,-23605.245,-6846.48,543.96,-29370.285,-10213.425,-3883.41
-12435.39,-12123.539999999999,-23620.545,-6865.83,527.5799999999999,-29379.51,-10213.244999999999,-3887.685
-12437.46,-12113.73,-23616.945,-6882.48,527.895,-29383.605,-10222.244999999999,-3894.165
-12431.43,-12096.449999999999,-23592.69,-6865.469999999999,555.03,-29377.844999999998,-10245.869999999999,-3896.865
-12430.35,-12103.83,-23606.19,-6873.21,541.305,-29398.815,-10260.315,-3894.0299999999997
-12430.305,-12104.279999999999,-23607.945,-6855.255,536.4,-29405.295,-10258.47,-3892.725
-12435.074999999999,-12109.814999999999,-23592.555,-6813.945,539.235,-29392.92,-10241.369999999999,-3893.67
-12430.619999999999,-12102.885,-23582.385,-6814.08,541.305,-29392.02,-10230.705,-3891.5099999999998
-12421.574999999999,-12097.395,-23585.67,-6841.665,535.3199999999999,-29393.954999999998,-10222.289999999999,-3883.68
-12419.145,-12096.945,-23590.934999999998,-6849.719999999999,541.935,-29385.629999999997,-10221.57,-3882.6
-12421.305,-12091.32,-23586.524999999998,-6833.115,551.5649999999999,-29380.094999999998,-10228.41,-3887.595
-12429.855,-12101.895,-23591.969999999998,-6842.5199999999995,544.095,-29380.5,-10230.48,-3888.315
-12435.885,-12112.109999999999,-23596.379999999997,-6847.155,524.52,-29399.039999999997,-10241.055,-3889.305
