ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-12938.939999999999,-12325.32,-24084.09,-6978.42,708.885,-29495.565,-11469.105,-3779.595
-12921.525,-12305.34,-24056.954999999998,-6949.349999999999,726.2099999999999,-29463.344999999998,-11415.33,-3762.6299999999997
-12896.955,-12276.63,-24019.11,-6876.945,763.6949999999999,-29425.905,-11364.705,-3737.3849999999998
-12886.47,-12260.88,-24006.195,-6869.7,774.135,-29432.655,-11375.91,-3730.545
-12894.255,-12268.664999999999,-24022.395,-6933.78,754.02,-29459.7,-11418.164999999999,-3742.47
-12909.015,-12290.039999999999,-24050.79,-6997.545,725.85,-29480.985,-11444.715,-3754.5299999999997
-12926.025,-12310.064999999999,-24058.62,-7005.69,710.4599999999999,-29484.855,-11441.925,-3764.0249999999996
-12922.38,-12305.025,-24047.82,-6948.45,732.42,-29456.774999999998,-11408.715,-3759.39
-12921.57,-12312.81,-24069.149999999998,-6899.264999999999,746.595,-29449.664999999997,-11398.77,-3751.245
-12915.945,-12300.84,-24049.44,-6882.389999999999,741.6,-29461.004999999997,-11413.35,-3751.245
-12922.965,-12302.955,-24041.07,-6915.554999999999,724.905,-29475.495,-11436.84,-3761.595
-12917.654999999999,-12302.234999999999,-24048.899999999998,-6955.065,726.12,-29473.739999999998,-11442.645,-3759.435
-12900.689999999999,-12283.695,-24052.77,-6950.925,743.625,-29468.295,-11446.695,-3749.94
-12894.3,-12273.84,-24040.17,-6923.7,748.98,-29472.254999999997,-11443.994999999999,-3741.795
-12892.365,-12275.369999999999,-24038.73,-6913.485,737.865,-29486.295,-11449.529999999999,-3735.225
-12907.98,-12283.47,-24029.954999999998,-6895.53,733.41,-29489.175,-11445.705,-3745.62
-12932.82,-12314.97,-24058.844999999998,-6925.32,730.935,-29468.295,-11407.725,-3754.98
-12930.074999999999,-12316.725,-24082.245,-7006.365,721.395,-29464.695,-11408.58,-3760.47
-12909.06,-12295.529999999999,-24074.73,-7030.755,729.135,-29456.82,-11411.595,-3746.295
-12909.6,-12298.365,-24087.059999999998,-7063.469999999999,725.4,-29459.204999999998,-11420.055,-3746.205
-12909.644999999999,-12299.76,-24088.364999999998,-7026.795,723.6899999999999,-29467.89,-11434.005,-3749.31
-12895.74,-12278.744999999999,-24049.71,-6931.3949999999995,739.935,-29478.42,-11464.83,-3744.6749999999997
-12891.015,-12265.92,-24010.425,-6834.105,753.0749999999999,-29486.969999999998,-11486.88,-3746.3849999999998
-12887.234999999999,-12258.225,-23980.59,-6795.719999999999,767.2049999999999,-29474.55,-11456.82,-3743.055
-12893.535,-12267.945,-24001.92,-6864.255,761.5799999999999,-29456.55,-11389.095,-3735.1349999999998
-12916.755,-12297.914999999999,-24047.415,-6904.8,742.905,-29462.219999999998,-11386.08,-3749.625
-12918.465,-12300.164999999999,-24054.39,-6885.2699999999995,742.275,-29475.495,-11436.795,-3761.955
-12911.939999999999,-12288.645,-24036.434999999998,-6873.255,746.55,-29482.2,-11469.33,-3764.6549999999997
-12900.6,-12276.045,-24016.815,-6877.575,760.86,-29456.594999999998,-11443.5,-3754.2599999999998
-12897.855,-12271.68,-24014.565,-6886.08,760.005,-29455.739999999998,-11444.49,-3756.555
-12923.55,-12299.715,-24036.39,-6916.545,730.035,-29483.864999999998,-11449.529999999999,-3771.6749999999997
-12942.585,-12326.535,-24078.015,-6960.195,702.135,-29510.145,-11463.615,-3783.285
-12937.545,-12325.23,-24084.719999999998,-6974.37,703.53,-29509.199999999997,-11456.145,-3769.29
-12927.15,-12316.365,-24077.34,-6968.07,708.345,-29508.795,-11449.619999999999,-3758.895
-12914.775,-12303.63,-24060.465,-6940.3949999999995,721.485,-29502.809999999998,-11442.869999999999,-3749.535
-12905.82,-12284.505,-24031.53,-6901.785,738.405,-29493.539999999997,-11452.185,-3750.165
-12913.695,-12292.695,-24042.825,-6918.57,729.63,-29501.594999999998,-11471.49,-3754.305
-12920.445,-12297.24,-24048.09,-6943.005,724.365,-29497.14,-11483.279999999999,-3768.75
-12915.765,-12296.295,-24059.204999999998,-6970.5,725.76,-29482.92,-11448.045,-3766.3199999999997
-12907.35,-12296.115,-24065.504999999997,-6975.764999999999,729.36,-29463.84,-11388.734999999999,-3743.19
-12899.115,-12284.55,-24047.64,-6938.955,745.11,-29444.805,-11372.13,-3738.24
-12904.605,-12286.26,-24039.899999999998,-6899.94,758.6999999999999,-29431.62,-11372.31,-3744.81
-12922.965,-12309.615,-24064.29,-6954.03,730.845,-29460.645,-11397.33,-3755.43
-12929.715,-12328.199999999999,-24107.805,-7032.69,695.475,-29491.289999999997,-11420.505,-3754.665
-12928.365,-12322.08,-24106.905,-7029.179999999999,707.4449999999999,-29491.065,-11435.49,-3757.185
-12927.914999999999,-12321.314999999999,-24100.695,-7000.425,730.845,-29474.594999999998,-11431.664999999999,-3758.3999999999996
-12922.38,-12312.225,-24082.695,-6954.48,741.375,-29461.274999999998,-11423.34,-3762.495
-12910.185,-12282.345,-24027.434999999998,-6943.23,745.425,-29445.57,-11412.81,-3761.64
-12895.965,-12268.664999999999,-24015.6,-6912.945,746.91,-29448.495,-11410.965,-3749.625
-12872.925,-12242.115,-23997.555,-6862.95,782.01,-29429.82,-11405.564999999999,-3731.67
-12878.955,-12243.914999999999,-23982.84,-6842.745,778.5,-29442.465,-11436.48,-3739.5899999999997
-12899.25,-12271.365,-24021.18,-6901.965,752.805,-29465.55,-11460.645,-3753.765
-12928.23,-12318.48,-24088.184999999998,-6982.695,706.365,-29504.16,-11466.225,-3763.125
-12949.38,-12343.365,-24119.415,-7033.995,677.2049999999999,-29512.89,-11452.185,-3773.97
-12945.105,-12339.314999999999,-24106.68,-7010.82,706.725,-29484.315,-11439.0,-3770.73
-12929.715,-12321.63,-24074.37,-6965.865,718.8299999999999,-29476.215,-11432.295,-3761.46
-12915.63,-12303.449999999999,-24073.559999999998,-6996.375,714.555,-29479.23,-11431.439999999999,-3754.7549999999997
-12912.48,-12300.029999999999,-24079.23,-7003.035,720.9449999999999,-29462.039999999997,-11418.615,-3753.4049999999997
-12904.92,-12283.154999999999,-24051.915,-6942.15,738.135,-29462.715,-11438.145,-3757.8599999999997
-12916.529999999999,-12289.59,-24017.04,-6824.25,765.765,-29462.715,-11458.755,-3765.555
-12922.019999999999,-12299.805,-24028.515,-6864.84,733.8149999999999,-29484.719999999998,-11489.22,-3768.615
-12920.535,-12303.765,-24060.015,-6937.83,719.865,-29497.68,-11505.96,-3770.415
-12923.189999999999,-12308.984999999999,-24086.25,-7002.045,714.06,-29480.895,-11478.105,-3774.7799999999997
-12913.109999999999,-12293.234999999999,-24059.114999999998,-6983.639999999999,728.145,-29448.045,-11421.449999999999,-3764.43
-12898.125,-12275.055,-24021.09,-6904.08,754.605,-29430.09,-11402.505,-3746.0699999999997
-12909.96,-12289.455,-24024.87,-6851.79,760.365,-29437.739999999998,-11409.39,-3745.575
-12913.92,-12297.42,-24033.239999999998,-6882.3,745.92,-29456.145,-11416.05,-3733.47
-12913.154999999999,-12293.64,-24033.465,-6909.84,737.37,-29459.789999999997,-11447.414999999999,-3741.93
-12904.109999999999,-12279.24,-24024.78,-6898.545,749.43,-29448.27,-11456.279999999999,-3749.3999999999996
-12898.484999999999,-12269.205,-24014.879999999997,-6874.11,761.9399999999999,-29429.28,-11430.72,-3754.665
-12900.869999999999,-12271.545,-24019.649999999998,-6888.509999999999,771.345,-29411.64,-11400.705,-3757.6349999999998
-12892.23,-12264.615,-24018.795,-6914.07,777.285,-29401.065,-11379.96,-3743.055
-12884.039999999999,-12253.41,-24008.355,-6907.679999999999,770.355,-29413.17,-11413.98,-3744.0899999999997
-12878.01,-12245.445,-23999.579999999998,-6887.925,777.6,-29414.655,-11432.744999999999,-3739.995
-12860.234999999999,-12227.445,-23982.254999999997,-6866.505,803.52,-29394.809999999998,-11404.395,-3712.41
-12882.105,-12254.939999999999,-24012.54,-6911.054999999999,759.9599999999999,-29448.809999999998,-11446.515,-3727.305
-12909.465,-12286.755,-24040.754999999997,-6926.535,712.53,-29510.504999999997,-11531.97,-3765.24
-12936.24,-12313.845,-24062.895,-6927.615,695.16,-29540.43,-11578.32,-3799.035
-12949.47,-12327.975,-24075.135,-6942.735,705.15,-29500.245,-11512.755,-3801.015
-12961.98,-12352.23,-24104.79,-6982.65,674.595,-29481.75,-11423.97,-3777.345
-12962.25,-12353.715,-24110.145,-6993.224999999999,666.9,-29494.71,-11432.34,-3776.085
-12937.185,-12317.085,-24069.42,-6950.025,709.155,-29460.329999999998,-11396.475,-3766.9049999999997
-12916.394999999999,-12291.029999999999,-24043.23,-6923.07,728.9549999999999,-29447.28,-11376.045,-3755.565
-12927.689999999999,-12308.715,-24060.465,-6936.705,724.77,-29459.114999999998,-11376.765,-3752.73
-12926.115,-12304.305,-24054.614999999998,-6929.415,743.4,-29448.855,-11428.515,-3758.265
-12923.73,-12298.275,-24052.23,-6943.815,725.985,-29480.129999999997,-11526.705,-3772.5299999999997
-12929.894999999999,-12306.105,-24072.48,-6991.605,690.2099999999999,-29518.469999999998,-11570.58,-3783.33
-12915.09,-12289.68,-24055.695,-6969.6449999999995,719.055,-29487.6,-11509.154999999999,-3764.43
-12911.76,-12286.484999999999,-24044.715,-6940.259999999999,746.73,-29434.32,-11407.365,-3749.49
-12930.255,-12309.48,-24054.344999999998,-6908.715,751.77,-29391.164999999997,-11328.435,-3754.17
-12917.97,-12295.08,-24039.54,-6901.92,766.98,-29387.789999999997,-11335.859999999999,-3750.0299999999997
-12904.154999999999,-12277.35,-24030.315,-6918.03,770.175,-29407.364999999998,-11376.945,-3743.37
-12912.119999999999,-12287.205,-24045.93,-6950.295,754.11,-29425.23,-11400.615,-3749.805
-12921.255,-12301.785,-24065.864999999998,-6987.69,742.545,-29431.844999999998,-11406.914999999999,-3755.3849999999998
-12918.24,-12303.99,-24089.445,-7045.695,719.37,-29453.309999999998,-11420.1,-3753.81
-12915.404999999999,-12307.994999999999,-24102.18,-7024.95,708.75,-29468.204999999998,-11425.275,-3749.1299999999997
-12911.49,-12297.96,-24068.565,-6925.139999999999,720.5849999999999,-29468.745,-11428.74,-3746.97
-12911.445,-12297.645,-24048.405,-6905.88,720.045,-29467.89,-11431.8,-3746.97
-12914.73,-12294.045,-24037.155,-6934.365,724.725,-29462.489999999998,-11436.345,-3753.0899999999997
-12913.199999999999,-12287.789999999999,-24051.735,-6967.215,720.18,-29460.239999999998,-11436.795,-3754.89
-12916.664999999999,-12294.855,-24064.469999999998,-6969.69,734.355,-29458.844999999998,-11439.765,-3755.9249999999997
-12915.09,-12295.215,-24060.87,-6968.5199999999995,750.6899999999999,-29460.239999999998,-11441.744999999999,-3753.27
-12917.295,-12299.715,-24079.004999999997,-7013.79,738.63,-29472.03,-11448.765,-3752.5499999999997
-12923.234999999999,-12300.345,-24065.954999999998,-6948.8099999999995,765.72,-29483.1,-11462.49,-3759.5699999999997
-12929.76,-12305.34,-24051.195,-6861.33,785.295,-29479.14,-11463.66,-3766.545
-12927.914999999999,-12306.285,-24051.105,-6870.33,745.3349999999999,-29475.539999999997,-11449.529999999999,-3764.295
-12916.98,-12295.98,-24050.79,-6922.665,708.7049999999999,-29462.355,-11431.619999999999,-3754.7999999999997
-12912.57,-12284.955,-24030.45,-6906.24,739.17,-29447.82,-11429.64,-3753.9449999999997
-12908.925,-12278.97,-24018.12,-6877.755,763.245,-29444.715,-11433.375,-3751.47
-12911.805,-12287.52,-24026.355,-6880.545,746.595,-29449.53,-11428.515,-3749.31
-12910.635,-12290.895,-24033.195,-6897.33,741.105,-29450.43,-11433.779999999999,-3749.1299999999997
-12910.41,-12282.435,-24018.12,-6888.42,737.9549999999999,-29452.95,-11444.22,-3751.83
-12911.984999999999,-12280.23,-24016.995,-6892.695,737.505,-29457.315,-11445.39,-3751.875
-12917.654999999999,-12292.65,-24036.075,-6912.585,730.4399999999999,-29465.414999999997,-11445.66,-3751.56
-12917.07,-12294.27,-24041.07,-6921.719999999999,725.49,-29465.19,-11439.81,-3747.7799999999997
-12912.345,-12287.699999999999,-24036.57,-6921.315,728.865,-29463.03,-11453.039999999999,-3753.18
-12913.695,-12288.914999999999,-24043.815,-6939.675,736.8299999999999,-29455.559999999998,-11460.33,-3760.02
-12912.75,-12288.914999999999,-24057.09,-6986.384999999999,725.985,-29453.039999999997,-11451.51,-3756.555
-12919.32,-12299.265,-24072.3,-7025.355,703.125,-29468.565,-11458.98,-3759.8849999999998
-12931.965,-12312.72,-24074.19,-6996.33,692.595,-29482.829999999998,-11478.015,-3773.0699999999997
-12927.689999999999,-12302.685,-24052.364999999998,-6934.5,715.68,-29474.864999999998,-11493.404999999999,-3775.095
-12921.345,-12292.244999999999,-24028.605,-6870.014999999999,732.1949999999999,-29475.0,-11490.57,-3769.47
-12914.64,-12289.5,-24024.195,-6881.264999999999,734.535,-29464.425,-11445.885,-3748.725
-12910.904999999999,-12289.59,-24038.594999999998,-6914.5199999999995,731.16,-29467.8,-11442.105,-3745.89
-12908.97,-12286.755,-24041.79,-6938.594999999999,730.89,-29471.579999999998,-11454.93,-3751.335
-12908.295,-12287.34,-24047.37,-6959.925,724.86,-29477.204999999998,-11451.914999999999,-3752.5049999999997
-12905.955,-12286.845,-24046.02,-6946.29,729.18,-29465.864999999998,-11410.875,-3740.7599999999998
-12889.529999999999,-12268.08,-24014.25,-6896.925,743.625,-29446.425,-11404.17,-3726.1349999999998
-12878.955,-12255.705,-23990.129999999997,-6895.17,753.0749999999999,-29417.175,-11392.83,-3717.855
-12893.715,-12275.189999999999,-24033.239999999998,-6957.179999999999,741.915,-29446.695,-11409.705,-3732.39
-12909.779999999999,-12291.39,-24061.635,-6983.775,723.6899999999999,-29466.36,-11437.605,-3753.0
-12929.625,-12307.59,-24069.645,-6945.974999999999,712.665,-29490.93,-11474.64,-3778.02
-12938.039999999999,-12312.63,-24059.655,-6896.205,715.3199999999999,-29502.539999999997,-11487.779999999999,-3791.25
-12933.9,-12310.74,-24053.445,-6906.554999999999,721.665,-29489.355,-11450.07,-3775.68
-12924.99,-12306.914999999999,-24054.66,-6930.585,719.37,-29481.03,-11404.215,-3752.595
-12922.199999999999,-12307.635,-24071.219999999998,-6975.45,704.745,-29493.989999999998,-11421.9,-3754.35
-12920.13,-12306.869999999999,-24088.59,-7016.804999999999,703.62,-29494.934999999998,-11436.975,-3757.68
-12915.269999999999,-12305.52,-24102.54,-7037.91,709.38,-29487.195,-11436.21,-3753.855
-12917.295,-12306.779999999999,-24088.545,-6999.03,716.67,-29484.989999999998,-11437.605,-3755.79
-12919.949999999999,-12309.119999999999,-24070.32,-6944.985,710.73,-29494.305,-11444.265,-3758.1749999999997
-12916.08,-12299.175,-24049.215,-6903.0,718.38,-29496.645,-11445.66,-3755.475
