ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-12906.314999999999,-12331.215,-24169.995,-6878.61,805.995,-29433.149999999998,-11697.3,-3708.9449999999997
-12903.119999999999,-12332.564999999999,-24176.43,-6877.62,815.5799999999999,-29421.27,-11689.965,-3711.015
-12899.88,-12326.13,-24168.87,-6888.195,813.4649999999999,-29427.03,-11702.34,-3713.67
-12900.914999999999,-12323.295,-24168.6,-6928.38,801.135,-29439.405,-11713.23,-3714.795
-12903.84,-12332.789999999999,-24191.504999999997,-6938.82,801.405,-29441.295,-11713.859999999999,-3712.77
-12904.515,-12326.039999999999,-24176.745,-6915.96,797.895,-29449.664999999997,-11721.24,-3717.18
-12903.3,-12322.89,-24160.23,-6901.92,795.78,-29448.989999999998,-11722.77,-3716.7749999999996
-12910.814999999999,-12343.095,-24196.725,-6932.16,795.24,-29436.524999999998,-11715.795,-3718.395
-12909.779999999999,-12343.185,-24222.555,-6979.7699999999995,787.185,-29439.45,-11720.07,-3719.0249999999996
-12904.695,-12327.39,-24199.065,-6958.889999999999,795.735,-29431.844999999998,-11717.91,-3718.71
-12906.269999999999,-12329.775,-24175.215,-6885.2699999999995,801.135,-29433.239999999998,-11720.789999999999,-3718.89
-12910.68,-12333.555,-24157.035,-6830.1449999999995,808.56,-29439.855,-11730.869999999999,-3721.2749999999996
-12913.695,-12330.045,-24146.73,-6810.4349999999995,817.11,-29444.175,-11738.205,-3724.515
-12918.015,-12333.33,-24152.489999999998,-6849.54,805.545,-29448.27,-11746.755,-3730.365
-12916.935,-12335.805,-24157.844999999998,-6865.469999999999,798.975,-29444.445,-11740.545,-3731.085
-12909.195,-12328.38,-24149.34,-6837.165,805.41,-29441.385,-11736.99,-3724.6949999999997
-12912.345,-12336.75,-24165.225,-6841.98,798.12,-29454.075,-11750.715,-3722.04
-12913.695,-12341.205,-24178.14,-6868.53,797.5799999999999,-29451.239999999998,-11747.564999999999,-3718.125
-12912.255,-12336.029999999999,-24175.934999999998,-6879.78,797.265,-29443.86,-11733.66,-3719.97
-12916.305,-12336.84,-24170.129999999997,-6888.554999999999,791.685,-29439.945,-11719.395,-3726.0899999999997
-12913.515,-12330.765,-24159.96,-6879.014999999999,804.555,-29425.59,-11732.265,-3726.315
-12919.545,-12339.135,-24180.03,-6872.264999999999,790.6949999999999,-29456.325,-11771.55,-3737.52
-12919.5,-12341.564999999999,-24180.12,-6874.29,777.9599999999999,-29479.5,-11775.734999999999,-3734.685
-12910.365,-12333.645,-24171.03,-6871.995,795.375,-29448.989999999998,-11715.48,-3712.5899999999997
-12909.779999999999,-12328.56,-24164.954999999998,-6864.705,812.745,-29424.105,-11691.855,-3712.77
-12903.705,-12308.805,-24143.94,-6844.7699999999995,830.61,-29412.765,-11697.164999999999,-3726.27
-12902.039999999999,-12299.58,-24134.445,-6834.735,841.41,-29405.114999999998,-11700.765,-3733.065
-12902.535,-12302.55,-24138.225,-6840.99,837.045,-29405.655,-11711.115,-3731.805
-12910.23,-12327.435,-24168.555,-6875.009999999999,802.755,-29436.21,-11735.685,-3723.705
-12912.39,-12335.535,-24178.41,-6886.215,791.595,-29445.344999999998,-11736.81,-3717.72
-12900.42,-12325.275,-24170.219999999998,-6877.665,802.26,-29434.364999999998,-11718.9,-3708.54
