ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-12235.859999999999,-12047.67,-23473.079999999998,-6869.34,434.43,-29800.844999999998,-12113.955,-3906.765
-12227.355,-12040.47,-23465.745,-6867.675,447.79499999999996,-29781.765,-12089.609999999999,-3897.495
-12219.525,-12026.564999999999,-23436.855,-6847.469999999999,459.405,-29775.105,-12089.564999999999,-3892.815
-12222.63,-12025.755,-23451.84,-6842.205,459.945,-29779.469999999998,-12101.175,-3896.19
-12222.045,-12020.67,-23451.75,-6808.05,471.555,-29774.204999999998,-12105.09,-3897.225
-12219.57,-12023.145,-23457.239999999998,-6828.255,467.23499999999996,-29773.485,-12103.154999999999,-3891.105
-12220.244999999999,-12026.16,-23452.335,-6828.344999999999,461.43,-29774.34,-12103.65,-3893.1749999999997
-12219.66,-12026.115,-23446.575,-6810.255,465.79499999999996,-29771.504999999997,-12100.949999999999,-3893.895
-12218.895,-12022.244999999999,-23445.629999999997,-6783.255,479.745,-29760.3,-12092.49,-3892.185
-12220.74,-12014.64,-23421.195,-6785.415,473.49,-29774.43,-12113.595,-3899.52
-12221.145,-12021.75,-23439.239999999998,-6812.28,463.40999999999997,-29786.67,-12127.59,-3899.115
-12204.494999999999,-12007.305,-23425.29,-6805.665,468.63,-29774.969999999998,-12117.24,-3885.2549999999997
-12198.914999999999,-12002.22,-23419.215,-6799.995,470.92499999999995,-29764.53,-12093.21,-3875.085
-12201.705,-12001.455,-23416.515,-6790.365,478.53,-29766.015,-12088.395,-3877.74
-12203.369999999999,-12003.615,-23420.114999999998,-6791.985,481.14,-29766.96,-12109.14,-3884.805
-12212.189999999999,-12015.404999999999,-23436.54,-6813.315,465.79499999999996,-29780.46,-12132.539999999999,-3893.49
-12220.244999999999,-12025.305,-23449.59,-6829.5599999999995,466.28999999999996,-29774.655,-12124.619999999999,-3899.295
-12222.045,-12024.045,-23448.645,-6832.665,468.585,-29766.645,-12096.0,-3892.8599999999997
-12202.56,-12006.945,-23432.355,-6816.87,478.08,-29760.03,-12065.58,-3869.595
-12194.865,-11997.494999999999,-23420.475,-6794.594999999999,481.365,-29768.265,-12090.914999999999,-3870.855
-12194.145,-11994.345,-23409.0,-6768.09,485.23499999999996,-29772.09,-12108.285,-3874.9049999999997
-12202.695,-12005.279999999999,-23423.219999999998,-6792.615,475.60499999999996,-29777.445,-12104.279999999999,-3880.17
-12223.755,-12032.055,-23451.795,-6823.215,454.77,-29788.11,-12100.725,-3893.94
-12232.08,-12037.859999999999,-23456.43,-6824.115,456.75,-29783.879999999997,-12102.21,-3906.27
-12231.99,-12036.42,-23456.114999999998,-6824.745,456.57,-29784.239999999998,-12108.645,-3911.85
-12216.465,-12019.545,-23438.79,-6809.985,469.71,-29776.815,-12101.58,-3896.5499999999997
-12211.47,-12017.34,-23437.71,-6809.49,468.04499999999996,-29781.09,-12104.505,-3880.845
-12225.555,-12030.705,-23450.985,-6824.34,452.29499999999996,-29799.539999999997,-12133.619999999999,-3898.395
-12219.48,-12020.805,-23440.68,-6814.08,460.89,-29796.21,-12135.914999999999,-3900.5099999999998
-12233.295,-12037.41,-23457.42,-6831.495,444.69,-29811.87,-12138.66,-3910.725
-12247.65,-12061.439999999999,-23483.114999999998,-6855.705,425.52,-29816.55,-12108.375,-3906.225
-12228.435,-12042.72,-23468.805,-6845.759999999999,440.46,-29801.475,-12099.375,-3887.595
-12188.564999999999,-11995.289999999999,-23426.774999999998,-6812.054999999999,485.46,-29767.59,-12096.314999999999,-3866.895
-12189.869999999999,-11989.035,-23415.614999999998,-6800.625,503.325,-29742.885,-12065.31,-3870.315
-12195.855,-11992.635,-23412.735,-6791.67,499.68,-29740.364999999998,-12053.115,-3872.475
-12195.18,-11992.904999999999,-23411.43,-6776.955,489.59999999999997,-29760.3,-12090.465,-3878.415
-12208.455,-12015.765,-23440.815,-6808.005,457.78499999999997,-29794.77,-12128.805,-3884.625
-12213.855,-12024.225,-23454.36,-6835.455,446.265,-29810.43,-12153.33,-3892.5899999999997
-12220.875,-12026.609999999999,-23452.965,-6842.34,454.905,-29792.16,-12118.59,-3895.29
-12220.154999999999,-12032.91,-23464.8,-6863.219999999999,452.205,-29770.965,-12064.994999999999,-3883.455
-12222.404999999999,-12031.695,-23469.254999999997,-6859.665,466.74,-29754.27,-12046.904999999999,-3885.0299999999997
-12235.32,-12044.34,-23476.14,-6853.905,455.265,-29776.815,-12068.055,-3896.2349999999997
-12243.465,-12056.939999999999,-23480.46,-6849.675,432.81,-29803.905,-12091.994999999999,-3900.1499999999996
-12237.975,-12053.654999999999,-23476.86,-6832.9349999999995,427.905,-29809.17,-12103.875,-3899.7
-12222.855,-12028.14,-23440.725,-6807.24,454.905,-29785.23,-12094.65,-3891.96
-12217.77,-12019.095,-23434.425,-6809.58,473.21999999999997,-29766.645,-12088.89,-3890.0699999999997
-12211.425,-12014.685,-23439.69,-6826.32,467.28,-29769.164999999997,-12091.635,-3885.2999999999997
-12201.525,-12002.895,-23423.985,-6809.67,475.695,-29764.17,-12086.01,-3876.8399999999997
-12204.855,-12005.324999999999,-23428.53,-6780.33,483.29999999999995,-29764.62,-12082.185,-3880.08
-12216.689999999999,-12013.695,-23427.405,-6782.535,482.66999999999996,-29770.065,-12092.265,-3891.015
-12226.725,-12028.859999999999,-23442.614999999998,-6817.679999999999,459.945,-29788.605,-12113.055,-3898.2599999999998
-12232.26,-12041.414999999999,-23462.64,-6838.514999999999,445.14,-29800.754999999997,-12127.77,-3901.5899999999997
-12209.22,-12013.695,-23443.29,-6821.55,470.565,-29776.725,-12105.855,-3882.6
-12193.199999999999,-11995.244999999999,-23427.36,-6813.134999999999,484.10999999999996,-29767.995,-12106.395,-3871.7999999999997
-12187.529999999999,-11982.51,-23414.489999999998,-6821.91,490.40999999999997,-29764.53,-12115.755,-3871.665
-12193.965,-11989.574999999999,-23419.395,-6823.349999999999,485.82,-29762.1,-12109.635,-3875.535
-12217.814999999999,-12017.205,-23439.015,-6808.455,463.905,-29770.469999999998,-12105.18,-3895.1549999999997
-12228.57,-12032.46,-23446.754999999997,-6787.665,457.335,-29757.87,-12080.52,-3899.0699999999997
-12224.07,-12028.994999999999,-23440.094999999998,-6770.969999999999,459.04499999999996,-29759.94,-12086.189999999999,-3893.355
-12216.015,-12020.939999999999,-23445.315,-6812.91,460.305,-29775.465,-12098.97,-3887.8199999999997
-12221.955,-12027.015,-23454.045,-6854.219999999999,450.9,-29788.379999999997,-12112.154999999999,-3895.6949999999997
-12231.09,-12033.765,-23456.565,-6828.12,450.495,-29794.86,-12119.895,-3904.83
-12235.05,-12037.59,-23461.559999999998,-6836.175,445.05,-29797.289999999997,-12121.92,-3911.1749999999997
-12227.265,-12031.65,-23455.17,-6828.03,452.43,-29784.555,-12095.46,-3898.125
-12227.535,-12032.414999999999,-23458.094999999998,-6835.455,449.72999999999996,-29783.204999999998,-12092.535,-3894.5699999999997
-12236.805,-12041.055,-23470.739999999998,-6867.764999999999,442.84499999999997,-29794.77,-12131.01,-3910.77
-12242.295,-12048.885,-23485.004999999997,-6888.105,421.74,-29822.445,-12177.314999999999,-3920.895
-12233.52,-12036.105,-23473.53,-6860.025,430.695,-29821.14,-12191.31,-3919.095
-12212.055,-12009.33,-23424.795,-6784.11,476.72999999999996,-29773.395,-12122.865,-3892.68
-12193.109999999999,-11994.21,-23406.885,-6764.445,499.995,-29738.114999999998,-12037.23,-3857.7599999999998
-12185.145,-11985.255,-23411.565,-6792.884999999999,497.655,-29743.199999999997,-12049.154999999999,-3857.58
-12205.439999999999,-12008.07,-23437.26,-6828.4349999999995,465.34499999999997,-29774.565,-12084.795,-3877.605
-12214.98,-12020.175,-23436.495,-6830.235,445.275,-29774.34,-12087.72,-3880.62
-12216.51,-12020.265,-23424.075,-6802.965,453.015,-29755.35,-12072.914999999999,-3880.08
-12209.445,-12008.07,-23404.32,-6787.62,471.59999999999997,-29713.995,-12043.35,-3880.7549999999997
-12192.84,-11985.39,-23378.579999999998,-6763.545,495.0,-29692.215,-12036.33,-3879.18
-12173.895,-11966.67,-23362.965,-6759.315,503.41499999999996,-29689.289999999997,-12034.71,-3865.455
-12173.715,-11971.035,-23385.195,-6779.835,503.865,-29716.425,-12056.715,-3860.64
-12181.68,-11978.1,-23404.815,-6792.3,497.47499999999997,-29756.969999999998,-12112.064999999999,-3869.91
-12203.1,-11997.539999999999,-23424.03,-6807.014999999999,472.32,-29793.015,-12150.945,-3893.4449999999997
-12234.195,-12038.67,-23462.1,-6829.875,437.31,-29813.94,-12139.515,-3910.455
-12240.27,-12047.13,-23465.295,-6823.53,440.59499999999997,-29800.305,-12118.23,-3912.615
-12242.564999999999,-12052.17,-23475.915,-6840.315,438.885,-29787.66,-12092.445,-3908.475
-12254.805,-12073.455,-23505.614999999998,-6876.405,415.16999999999996,-29802.465,-12095.234999999999,-3915.765
-12246.75,-12070.395,-23510.07,-6897.78,403.91999999999996,-29813.85,-12106.664999999999,-3908.0699999999997
-12230.775,-12050.505,-23489.64,-6887.61,413.28,-29810.745,-12112.47,-3890.52
-12217.32,-12019.814999999999,-23447.969999999998,-6838.245,459.09,-29780.82,-12108.105,-3891.1499999999996
-12205.935,-12005.369999999999,-23418.899999999998,-6790.1849999999995,487.215,-29752.695,-12073.185,-3879.72
-12205.215,-12010.59,-23421.69,-6787.98,485.54999999999995,-29748.42,-12048.3,-3869.73
-12220.56,-12033.045,-23460.704999999998,-6820.065,462.10499999999996,-29763.899999999998,-12055.68,-3879.45
-12233.295,-12043.529999999999,-23473.98,-6827.264999999999,450.315,-29782.35,-12083.76,-3896.19
-12233.07,-12042.18,-23467.364999999998,-6841.575,443.43,-29790.09,-12095.82,-3898.4849999999997
-12229.064999999999,-12037.994999999999,-23463.585,-6837.795,448.78499999999997,-29785.094999999998,-12094.38,-3894.975
-12227.175,-12031.875,-23469.434999999998,-6822.495,457.91999999999996,-29781.405,-12095.865,-3895.6499999999996
-12222.045,-12018.689999999999,-23443.155,-6810.165,465.705,-29775.87,-12095.414999999999,-3894.2549999999997
-12213.404999999999,-12001.5,-23405.805,-6794.46,471.91499999999996,-29770.469999999998,-12094.425,-3889.7549999999997
-12216.285,-12010.5,-23426.954999999998,-6805.485,468.315,-29768.355,-12094.38,-3888.99
-12217.32,-12017.88,-23444.46,-6814.62,469.215,-29766.465,-12093.3,-3888.0
-12215.295,-12018.15,-23450.489999999998,-6833.655,468.135,-29767.5,-12091.635,-3885.12
-12215.16,-12020.445,-23458.364999999998,-6855.3,458.775,-29774.25,-12093.57,-3883.545
-12216.105,-12020.13,-23459.489999999998,-6858.495,457.60499999999996,-29776.68,-12095.595,-3885.705
-12217.455,-12019.455,-23469.39,-6877.53,452.43,-29781.135,-12103.154999999999,-3888.72
-12216.195,-12021.029999999999,-23489.145,-6916.545,437.66999999999996,-29795.489999999998,-12128.49,-3890.8799999999997
-12217.05,-12019.32,-23470.965,-6917.985,430.515,-29805.254999999997,-12148.515,-3895.47
-12218.265,-12020.22,-23454.315,-6873.66,436.185,-29800.98,-12146.895,-3897.9449999999997
-12223.395,-12024.539999999999,-23437.485,-6763.1849999999995,461.025,-29778.795,-12109.14,-3897.0899999999997
-12222.63,-12018.869999999999,-23413.545,-6726.195,472.77,-29763.09,-12067.244999999999,-3885.0299999999997
-12210.164999999999,-12007.845,-23420.34,-6774.165,474.47999999999996,-29755.574999999997,-12062.564999999999,-3875.895
-12219.164999999999,-12021.705,-23440.05,-6799.7699999999995,459.53999999999996,-29768.985,-12076.335,-3883.815
-12217.05,-12016.215,-23429.879999999997,-6785.415,466.2,-29772.629999999997,-12086.865,-3887.145
-12199.005,-11994.93,-23408.19,-6764.085,491.13,-29755.53,-12076.605,-3874.9049999999997
-12195.9,-11993.805,-23412.285,-6769.53,491.66999999999996,-29756.34,-12076.695,-3870.585
-12202.38,-11999.52,-23416.559999999998,-6779.474999999999,484.38,-29762.19,-12085.965,-3876.21
-12210.255,-12008.25,-23421.555,-6795.945,470.15999999999997,-29763.539999999997,-12099.375,-3883.995
-12205.755,-12003.39,-23424.344999999998,-6809.355,470.205,-29758.59,-12106.215,-3883.545
-12187.035,-11980.664999999999,-23411.52,-6799.05,490.905,-29756.925,-12118.23,-3877.3799999999997
-12181.005,-11972.744999999999,-23401.575,-6789.69,492.93,-29761.065,-12123.27,-3872.97
-12204.27,-11998.17,-23422.5,-6799.139999999999,468.315,-29783.789999999997,-12132.225,-3887.145
-12239.955,-12042.0,-23458.004999999997,-6813.45,438.12,-29798.91,-12114.045,-3902.04
-12256.38,-12069.765,-23492.879999999997,-6851.16,415.03499999999997,-29808.495,-12100.23,-3905.37
-12231.18,-12036.465,-23461.785,-6827.535,443.15999999999997,-29799.18,-12125.744999999999,-3897.27
-12218.895,-12013.289999999999,-23436.135,-6806.655,461.835,-29793.285,-12136.77,-3899.52
-12223.71,-12020.31,-23444.64,-6817.815,451.305,-29795.715,-12112.74,-3896.5049999999997
-12217.904999999999,-12020.58,-23447.024999999998,-6820.605,450.405,-29788.199999999997,-12091.904999999999,-3884.9849999999997
-12183.525,-11977.875,-23398.11,-6767.054999999999,505.89,-29735.414999999997,-12043.035,-3858.5699999999997
-12142.35,-11929.32,-23344.829999999998,-6721.335,544.905,-29703.465,-12034.17,-3822.21
-12150.314999999999,-11936.07,-23355.405,-6731.325,533.295,-29727.629999999997,-12077.955,-3837.1949999999997
